"survey_abb";"subject_num";"subject";"inValid"
"CROP";"1";"Corn";"False"
"CROP";"2";"Soybeans";"False"
"CROP";"3";"Wheat";"True"
"CROP";"4";"Cotton";"False"
"CROP";"5";"Hogs";"True"
"CROP";"6";"Dairy";"True"
"CROP";"7";"Rice";"False"
"CROP";"8";"Sugarbeets";"True"
"CROP";"9";"Barley";"False"
"CROP";"10";"Spring wheat";"False"
"CROP";"11";"Winter wheat";"False"
"CROP";"12";"Durum wheat";"False"
"CROP";"13";"Sorghum";"False"
"CROP";"14";"Oats";"False"
"CROP";"15";"Peanuts";"False"
"CROP";"16";"Potatoes";"True"
"CROP";"17";"Sunflowers";"True"
"CROP";"18";"Tobacco, flue-cured";"True"
"CROP";"19";"Cotton, upland";"True"
"CROP";"20";"Alfalfa seed";"True"
"CROP";"21";"Almonds";"True"
"CROP";"22";"Amaranth";"True"
"CROP";"23";"Apples";"True"
"CROP";"24";"Apricots";"True"
"CROP";"25";"Artichokes";"True"
"CROP";"26";"Asparagus.";"True"
"CROP";"27";"Avocados";"True"
"CROP";"28";"Bahia grass seed";"True"
"CROP";"29";"Bananas";"True"
"CROP";"30";"Barley, feed or malt";"True"
"CROP";"31";"Barley, seed";"True"
"CROP";"32";"Beans, dry edible";"True"
"CROP";"33";"Bedding/garden plants";"True"
"CROP";"34";"Beets";"True"
"CROP";"35";"Bentgrass seed";"True"
"CROP";"36";"Bermuda grass seed";"True"
"CROP";"37";"Berries, all other";"True"
"CROP";"38";"Birdsfoot trefoil seed";"True"
"CROP";"39";"Blackberries";"True"
"CROP";"40";"Blueberries, tame";"True"
"CROP";"41";"Blueberries, wild";"True"
"CROP";"42";"Bluegrass seed";"True"
"CROP";"43";"Boysenberries";"True"
"CROP";"44";"Broccoli";"True"
"CROP";"45";"Brome grass seed";"True"
"CROP";"46";"Brussels sprouts";"True"
"CROP";"47";"Buckwheat";"True"
"CROP";"48";"Bulbs, corms, rhizomes, tubers (dry)";"True"
"CROP";"49";"Canola";"True"
"CROP";"50";"Cantaloupe";"True"
"CROP";"51";"Carrots";"True"
"CROP";"52";"Castor beans";"True"
"CROP";"53";"Cauliflower";"True"
"CROP";"54";"Celery";"True"
"CROP";"55";"Cherries, sweet";"True"
"CROP";"56";"Cherries, tart";"True"
"CROP";"57";"Chestnuts";"True"
"CROP";"58";"Chicory";"True"
"CROP";"59";"Chinese cabbage";"True"
"CROP";"60";"Chinese peas, sugar, snow";"True"
"CROP";"61";"Christmas trees, cut";"True"
"CROP";"62";"Chufus";"True"
"CROP";"63";"Cilantro";"True"
"CROP";"64";"Citrus, other";"True"
"CROP";"65";"Clover";"True"
"CROP";"66";"Clover seed";"True"
"CROP";"67";"Clover seed, red";"True"
"CROP";"68";"Clover seed, white";"True"
"CROP";"69";"Clover, seed crimson";"True"
"CROP";"70";"Clover, seed ladino";"True"
"CROP";"71";"Coffee";"True"
"CROP";"72";"Collards";"True"
"CROP";"73";"Corn, corn nuts";"True"
"CROP";"74";"Corn, dry fodder, hogged or grazed";"True"
"CROP";"75";"Corn, grain";"True"
"CROP";"76";"Corn, Indian";"True"
"CROP";"77";"Corn, seed";"True"
"CROP";"78";"Corn, silage";"True"
"CROP";"79";"Corn, white";"True"
"CROP";"80";"Cotton, Pima";"True"
"CROP";"81";"Cottonseed";"True"
"CROP";"82";"Crambe";"True"
"CROP";"83";"Cranberries";"True"
"CROP";"84";"Currants";"True"
"CROP";"85";"Daikon";"True"
"CROP";"86";"Dates";"True"
"CROP";"87";"Dill";"True"
"CROP";"88";"Eggplant";"True"
"CROP";"89";"Emmer and spelt";"True"
"CROP";"90";"Endive";"True"
"CROP";"91";"Escarole";"True"
"CROP";"92";"Fava beans";"True"
"CROP";"93";"Figs";"True"
"CROP";"94";"Flaxseed";"True"
"CROP";"95";"Flower seeds";"True"
"CROP";"96";"Flowers (cut) and cut florist greens";"True"
"CROP";"97";"Foliage plants";"True"
"CROP";"98";"Forage and greenchop";"True"
"CROP";"99";"Foxtail millet seed";"True"
"CROP";"100";"Garlic";"True"
"CROP";"101";"Gingerroot";"True"
"CROP";"102";"Ginseng";"True"
"CROP";"103";"Grapefruit";"True"
"CROP";"104";"Grapes, dry";"True"
"CROP";"105";"Grapes, fresh";"True"
"CROP";"106";"Grass seed, other";"True"
"CROP";"107";"Grass silage";"True"
"CROP";"108";"Grasses, other than clover and sudan";"True"
"CROP";"109";"Green peas, English";"True"
"CROP";"110";"Greenhouse produced vegetables";"True"
"CROP";"111";"Greens";"True"
"CROP";"112";"Guar";"True"
"CROP";"113";"Guava";"True"
"CROP";"114";"Hay, Alfalfa and alfalfa mixtures";"True"
"CROP";"115";"Hay, other";"True"
"CROP";"116";"Hay, small grain";"True"
"CROP";"117";"Hay, wild";"True"
"CROP";"118";"Hazelnuts";"True"
"CROP";"119";"Herbs, dried";"True"
"CROP";"120";"Herbs, fresh";"True"
"CROP";"121";"Honey tangerines";"True"
"CROP";"122";"Hops";"True"
"CROP";"123";"Horseradish";"True"
"CROP";"124";"Horticultural specialties";"True"
"CROP";"125";"Horticulture, other";"True"
"CROP";"126";"Kale";"True"
"CROP";"127";"Kenaf";"True"
"CROP";"128";"Kiwifruit";"True"
"CROP";"129";"Kumquats";"True"
"CROP";"130";"Lemons";"True"
"CROP";"131";"Lentils";"True"
"CROP";"132";"Lespedeza seed";"True"
"CROP";"133";"Lettuce, head";"True"
"CROP";"134";"Lettuce, other";"True"
"CROP";"135";"Lettuce, romaine";"True"
"CROP";"136";"Lima beans, dry";"True"
"CROP";"137";"Limes";"True"
"CROP";"138";"Loganberries";"True"
"CROP";"139";"Lotus root";"True"
"CROP";"140";"Macadamia nuts";"True"
"CROP";"141";"Mandarins";"True"
"CROP";"142";"Mangoes";"True"
"CROP";"143";"Maple trees for syrup";"True"
"CROP";"144";"Meadow foam";"True"
"CROP";"145";"Melons, honeydew";"True"
"CROP";"146";"Melons, miscellaneous";"True"
"CROP";"147";"Millet";"True"
"CROP";"148";"Mint, all";"True"
"CROP";"149";"Mung beans";"True"
"CROP";"150";"Mushrooms";"True"
"CROP";"151";"Mustard cabbage";"True"
"CROP";"152";"Mustard greens";"True"
"CROP";"153";"Mustard seed";"True"
"CROP";"154";"Nectarines";"True"
"CROP";"155";"Noncitrus fruits, other";"True"
"CROP";"156";"Nursery crops";"True"
"CROP";"157";"Nuts, other";"True"
"CROP";"158";"Okra";"True"
"CROP";"159";"Olives";"True"
"CROP";"160";"Onions, dehydrated";"True"
"CROP";"161";"Onions, dry";"True"
"CROP";"162";"Onions, green";"True"
"CROP";"163";"Oranges (all, except temples)";"True"
"CROP";"164";"Oranges, temples";"True"
"CROP";"165";"Orchard grass seed";"True"
"CROP";"166";"Papayas";"True"
"CROP";"167";"Parsley";"True"
"CROP";"168";"Passion fruit";"True"
"CROP";"169";"Peaches.";"True"
"CROP";"170";"Pears";"True"
"CROP";"171";"Peas, all other";"True"
"CROP";"172";"Peas, Austrian winter";"True"
"CROP";"173";"Peas, blackeye";"True"
"CROP";"174";"Peas, cowpeas";"True"
"CROP";"175";"Peas, dry edible";"True"
"CROP";"176";"Pecans";"True"
"CROP";"177";"Peppermint";"True"
"CROP";"178";"Peppers, bell";"True"
"CROP";"179";"Peppers, hot";"True"
"CROP";"180";"Peppers, other";"True"
"CROP";"181";"Persimmons";"True"
"CROP";"182";"Pimentos";"True"
"CROP";"183";"Pineapples";"True"
"CROP";"184";"Pistachios";"True"
"CROP";"185";"Plums";"True"
"CROP";"186";"Pomegranates";"True"
"CROP";"187";"Popcorn";"True"
"CROP";"188";"Potted flowering plants";"True"
"CROP";"189";"Prunes";"True"
"CROP";"190";"Pumpkins";"True"
"CROP";"191";"Radishes";"True"
"CROP";"192";"Rape seed";"True"
"CROP";"193";"Rapini";"True"
"CROP";"194";"Raspberries";"True"
"CROP";"195";"Redtop seed";"True"
"CROP";"196";"Rhubarb";"True"
"CROP";"197";"Rice, wild";"True"
"CROP";"198";"Rutabagas";"True"
"CROP";"199";"Rye";"True"
"CROP";"200";"Ryegrass seed";"True"
"CROP";"201";"Safflower";"True"
"CROP";"202";"Sage";"True"
"CROP";"203";"Sesame";"True"
"CROP";"204";"Shallots";"True"
"CROP";"205";"Silage & haylage (except corn & sorghum)";"True"
"CROP";"206";"Sod/turf grass";"True"
"CROP";"207";"Sorghum, grain";"True"
"CROP";"208";"Sorghum, hay";"True"
"CROP";"209";"Sorghum, hogged";"True"
"CROP";"210";"Sorghum, molasses";"True"
"CROP";"211";"Sorghum, silage";"True"
"CROP";"212";"Sorghum-sudan crosses";"True"
"CROP";"213";"Southern peas, cowpeas, etc";"True"
"CROP";"214";"Squash, summer";"True"
"CROP";"215";"Squash, winter";"True"
"CROP";"216";"Strawberries";"True"
"CROP";"217";"Sudan";"True"
"CROP";"218";"Sudan grass seed";"True"
"CROP";"219";"Sugarbeets for seed";"True"
"CROP";"220";"Sugarbeets for sugar";"True"
"CROP";"221";"Sugarcane for seed";"True"
"CROP";"222";"Sugarcane for sugar";"True"
"CROP";"223";"Sweet clover seed";"True"
"CROP";"224";"Sweet corn for seed";"True"
"CROP";"225";"Sweet potatoes";"True"
"CROP";"226";"Tall fescue seed";"True"
"CROP";"227";"Tangelos";"True"
"CROP";"228";"Tangerines";"True"
"CROP";"229";"Tangors";"True"
"CROP";"230";"Teff";"True"
"CROP";"231";"Timothy seed";"True"
"CROP";"232";"Tobacco transplants from beds";"True"
"CROP";"233";"Tobacco, (other)";"True"
"CROP";"234";"Tobacco, burley";"True"
"CROP";"235";"Triticale";"True"
"CROP";"236";"Tungnuts";"True"
"CROP";"237";"Turnip greens";"True"
"CROP";"238";"Turnips";"True"
"CROP";"239";"Vegetables, other";"True"
"CROP";"240";"Vegetables, seeds";"True"
"CROP";"241";"Vetch seed, hairy";"True"
"CROP";"242";"Walnuts";"True"
"CROP";"243";"Watercress";"True"
"CROP";"244";"Watermelons";"True"
"CROP";"245";"Wheatgrass seed";"True"
"CROP";"246";"Barley, feed";"False"
"CROP";"247";"Barley, malt";"False"
"FINANCE";"1";"All Farms";"False"
"FINANCE";"2";"Farm Businesses";"False"
"FINANCE";"3";"Farm Operator Households";"False"
